label,upstream,local,text,bytes,sha256,read
Additional Town Revenue Spending Plan,https://drive.google.com/file/d/1siNOaM58z3fUYGOK2F5OWiEzl9wgBfNM/view?usp=drive_link,sources/district-budget/docs/additional-town-revenue-spending-plan.pdf,sources/district-budget/text/additional-town-revenue-spending-plan.txt,131840,80c6ad5647c4731de7983dc411e4f10e3e75d09e3b62eea244895aa9c9dd58ab,pdf text layer
FREQUENTLY ASKED QUESTIONS-NOVEMBER TOWN MEETING,https://drive.google.com/file/d/1ntDb3MeOIRRLosIF1GqdNMJz6wB5sB68/view?usp=drive_link,sources/district-budget/docs/frequently-asked-questions-november-town-meeting.pdf,sources/district-budget/text/frequently-asked-questions-november-town-meeting.txt,572848,f3edbeda7ad00ceeaeef2fec13d3f495f0a4ccba159d898750e2f14168c72b4f,pdf text layer
Final Budget Document,https://drive.google.com/file/d/1wlHAD2YJ1gJ7zQ_F_1n3PiPecEytQdaM/view,sources/district-budget/docs/final-budget-document.pdf,sources/district-budget/text/final-budget-document.txt,363122,962191af96ae1ae10a4599bf4a5d2d7c164bfc7e1859f8f9e7b551f064d6f459,pdf text layer
Slide Deck from the SC Meeting 3/23/26,https://drive.google.com/file/d/13ofJRpTJWaJ7lZN1ZLjXk8TkhiPt10aZ/view,sources/district-budget/docs/slide-deck-from-the-sc-meeting-3-23-26.pdf,sources/district-budget/text/slide-deck-from-the-sc-meeting-3-23-26.txt,2490257,a16845269cde5dbc9ce5a25b1516085df3125477b1b103e1cda36333be92cb5b,ocr
FY27 Budget Projections as of 3-23-26,https://drive.google.com/file/d/1sevLnaVtDTSxrPif9WnVO9LUXFI4AAef/view?usp=drive_link,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,sources/district-budget/text/fy27-budget-projections-as-of-3-23-26.txt,386490,684b2964422b2ec34d88303656ff7e1297e0cf00a9d5030dacbefed9d1cb0593,pdf text layer
Balanced Budget Slides 3-23-26,https://drive.google.com/file/d/1sWH4_mVHc3oPDIzN14cJ1JazJxcf9JwN/view?usp=drive_link,sources/district-budget/docs/balanced-budget-slides-3-23-26.pdf,sources/district-budget/text/balanced-budget-slides-3-23-26.txt,2381655,a216b1a1102cd935d434a0f9fd69ca6df6443f36d62844448596f280500abd6e,ocr
FY27 Budget Projections as of 3-16-26 with Restorations,https://drive.google.com/file/d/1l3RgnfbIHwja_OAI1QFERj9mmIe-NYd9/view?usp=drive_link,sources/district-budget/docs/fy27-budget-projections-as-of-3-16-26-with-restorations.pdf,sources/district-budget/text/fy27-budget-projections-as-of-3-16-26-with-restorations.txt,518484,79f94c397093b381149d9f06225ab5ba1cb83bd1f9627a2e4a60e5417b536f2b,pdf text layer
BUDGET ADDENDUM MULTI-SCENARIO FINANCIAL ANALYSIS,https://drive.google.com/file/d/1lcgzf6W5T36SBgHYUELXhUF7N5g-w320/view?usp=drive_link,sources/district-budget/docs/budget-addendum-multi-scenario-financial-analysis.pdf,sources/district-budget/text/budget-addendum-multi-scenario-financial-analysis.txt,202199,af173c9db1068f85b027fc658eaa09ea1e8c4de4aef75403d8f5787bbfc98e0b,pdf text layer
Budget Message for Families 2-27-26,https://drive.google.com/file/d/1629406huLmh7uEw-owRL-9bu2KEdFwLt/view?usp=drive_link,sources/district-budget/docs/budget-message-for-families-2-27-26.pdf,sources/district-budget/text/budget-message-for-families-2-27-26.txt,229823,2f5e56e0a3e6da0e43b99e13812fa3606c4f945592580356307a438dc47774d3,pdf text layer
FY27 Budget Presentation to Finance Committee 2-26-26,https://drive.google.com/file/d/1pIqD4oqA7b7XyX0MmzUQbh69eHHpRKob/view?usp=drive_link,sources/district-budget/docs/fy27-budget-presentation-to-finance-committee-2-26-26.pdf,sources/district-budget/text/fy27-budget-presentation-to-finance-committee-2-26-26.txt,3437575,fd3cb8e59ea2ca84fc9e3340b0a1decfd79964f4bc466433d03502b4f83502ad,already had it
FY27 Superintendent Budget Presentation,https://drive.google.com/file/d/1ULXk_7YVRsfvEUaO7tUCyvYc36XxVbOJ/view?usp=drive_link,sources/district-budget/docs/fy27-superintendent-budget-presentation.pdf,sources/district-budget/text/fy27-superintendent-budget-presentation.txt,3443381,8ef7ea20a4c58e7c7ba636d068260870a990e0e8a41b8db10de3f15c9705ae84,pdf text layer
NOTICE OF PUBLIC BUDGET HEARING 2/25,https://drive.google.com/file/d/1E2_Uk0p5EpaXRBrwTUoErZ-22ASxAnAM/view?usp=drive_link,sources/district-budget/docs/notice-of-public-budget-hearing-2-25.pdf,sources/district-budget/text/notice-of-public-budget-hearing-2-25.txt,523051,7b545092a4b9b95712d92f564ab213c22968c901900cb6568723b604f6e33479,pdf text layer
FY27 Budget Projections as of 2.24.26 with Restorations,https://drive.google.com/file/d/1cuDxh8j84J6R6O7-GwT0kVhvCCPY4qkX/view?usp=drive_link,sources/district-budget/docs/fy27-budget-projections-as-of-2-24-26-with-restorations.pdf,sources/district-budget/text/fy27-budget-projections-as-of-2-24-26-with-restorations.txt,293725,733a5a5a37e76dcecc42be649c9a7b0b650644acbd33a2e05fa0477577578baf,pdf text layer
FY27 Budget Projections as of 2.16.26 with Restorations,https://drive.google.com/file/d/1xuHmqyZwjzmPJhaBdhCa-w7Ztcl-SHjP/view?usp=drive_link,sources/district-budget/docs/fy27-budget-projections-as-of-2-16-26-with-restorations.pdf,sources/district-budget/text/fy27-budget-projections-as-of-2-16-26-with-restorations.txt,306646,f4e7197f47d57fea7ad1eb31794f243fa6059a16c4fee9abecbca1dbfa59124f,pdf text layer
Final FY26 SC Approved Budget 3-12-25 with Level Service Budget,https://drive.google.com/file/d/1rJRsQvLZtRqw5-KHvQb4jlCuZCm_nj1e/view?usp=drive_link,sources/district-budget/docs/final-fy26-sc-approved-budget-3-12-25-with-level-service-budget.pdf,sources/district-budget/text/final-fy26-sc-approved-budget-3-12-25-with-level-service-budget.txt,671435,8d199cd18e3c07e8bf854ef99ca69fb14bd8fcd777b3dfa74b04b3d596933459,pdf text layer
