dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
officials,2011,FY2011,9,,,,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",6,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Nancy L Woodruff,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",79,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Richard E. Bushnoe,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",54,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Robert E. Tucker WWII,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",82,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Alfred E. Labonte WWII,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",98,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Gerald J. Letoureau,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",44,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Joseph P. Bigelow Jr.,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",76,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Joseph G. Aziz Korea,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",80,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Kathy Ann Blake Sapuppo,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",47,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Caroline C. Porter,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",65,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Betty Ann Sikora,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",72,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Harry E. Haueisen Korea,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",86,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Phyllis I. Congdon,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",85,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Russell C. Pierce,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",78,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Berle M. Jones,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",90,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Shawn P. Scouten,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",23,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Shirley A. Levesque,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",80,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Andrew J. Bingham Army,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",38,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Amos Forrest WWII,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",88,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Blanche C. Abbott,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",69,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,Voitto W. Jarvi WWII,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",96,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Paul H. Benedict,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",73,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Helen E. Morris,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",79,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,William H. Morrin Korea & VNam,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",80,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Margaret Dodge,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",97,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Walter J. Downey,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",52,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,13,,,*Eila Martha Jarvi,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",91,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,14,,PLANNING BOARD,,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",11,,,,,,,,1,,0,,,no check,no total printed
officials,2011,FY2011,22,,Public Safety Coordinator Linda Carrier,,,row,,,,,"Marion Benson, c/o Planning Board | D.P.W. BUILDING COMMITTEE/ Article 7, Section 1 | Jay Simeone, Citizen at Large | Dave MacDonald, Citizen at Large | Jan Carrier, Citizen at Large | Leigh Mezzetti,",19,,,,,,,,1,,0,,,no check,no total printed
officials,2013,FY2013,6,,,Arazo s ned,,row,,,,,E | EI0Z | TUGN | EI0Z | 8I0Z | IIOZ | ETOZ tIOZ | SIssy EIOZ,2100,,,,,,,,1,,0,,,no check,no total printed
officials,2013,FY2013,28,,"Police Officers Charles P. Deming Jr., Peter",,,row,,,,,E | EI0Z | TUGN | EI0Z | 8I0Z | IIOZ | ETOZ tIOZ | SIssy EIOZ,25,,,,,,,,1,,0,,,no check,no total printed
officials,2014,FY2014,14,,SCHOOL BUILDING COMMITTEE,,,page_number,"the page number, not a line of the table",,,,APPOINTED OFFICIALS | TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. | PUBLIC ACCESS CABLE COMMITTEE (PACC) - 3 years | Jeffrey Bajko | 2016 Rhonda Lisio | PUBLIC EMPLOYEE COMMITTEE (PEC)- CH. 32B,14,,,,,,,,1,,0,,,no check,no total printed
officials,2014,FY2014,15,,VETERANS AGENT,,,page_number,"the page number, not a line of the table",,,,APPOINTED OFFICIALS | TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. | PUBLIC ACCESS CABLE COMMITTEE (PACC) - 3 years | Jeffrey Bajko | 2016 Rhonda Lisio | PUBLIC EMPLOYEE COMMITTEE (PEC)- CH. 32B,15,,,,,,,,1,,0,,,no check,no total printed
officials,2014,FY2014,79,1,VETERANS AGENT,Officer Godfrey served as a Reserve Intermittent Police officer with the Lunenburg Police Department since June,,row,,,,,APPOINTED OFFICIALS | TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. | PUBLIC ACCESS CABLE COMMITTEE (PACC) - 3 years | Jeffrey Bajko | 2016 Rhonda Lisio | PUBLIC EMPLOYEE COMMITTEE (PEC)- CH. 32B,7,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,13,,Fire Chief Patrick Sullivan,Caroline Griffis- resigned July 201,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,5,,,,,,,,1,yes,0,,,no check,no total printed
officials,2015,FY2015,13,,Fire Chief Patrick Sullivan,,,page_number,"the page number, not a line of the table",,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,13,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,83,,Fire Chief Patrick Sullivan,,,page_number,"the page number, not a line of the table",,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,83,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,84,,Public Safety Coo,,,page_number,"the page number, not a line of the table",,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,84,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,85,,Public Safety Coo,,,page_number,"the page number, not a line of the table",,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,85,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,93,,Public Safety Coo,"Police Vehicles, Marked",,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,4,,,,,,,,1,,0,"96,000.00 | 96,000.00",,no check,no total printed
officials,2015,FY2015,93,,Public Safety Coo,"Technology, Town Departments",,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,8,,,,,,,,1,,0,"34,000.00 | 34,000.00",,no check,no total printed
officials,2015,FY2015,93,,"DPW, Street Sweeper","Police, Speed Sign",,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,10,,,,,,,,1,,0,"12,000.00 | 12,000.00",,no check,no total printed
officials,2015,FY2015,93,,"DPW, Street Sweeper","Technology, School Department",,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,11,,,,,,,,1,,0,"30,000.00 | 30,000.00",,no check,no total printed
officials,2015,FY2015,93,,"DPW, Street Sweeper","Replace Gas Burner, Library",,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,12,,,,,,,,1,,0,"15,000.00 | 15,000.00",,no check,no total printed
officials,2015,FY2015,93,,"DPW, Street Sweeper",HVAC Management System,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,13,,,,,,,,1,,0,"12,000.00 | 12,000.00",,no check,no total printed
officials,2015,FY2015,93,,"DPW, Street Sweeper",,,page_number,"the page number, not a line of the table",,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,,93,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,203,,"DPW, Street Sweeper",Elizabeth A. Murphy**,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,2011,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,203,,"DPW, Street Sweeper",Wendy L. Bertrand,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,2018,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,203,,"DPW, Street Sweeper",Heather A. Sroka,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,2017,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,203,,"DPW, Street Sweeper",Michael J. Mackin,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,2017,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,203,,"DPW, Street Sweeper",Colleen M. Shapiro,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,2016,,,,,,,,1,,0,,,no check,no total printed
officials,2015,FY2015,203,,"DPW, Street Sweeper",Paul J. Doherty,,row,,,,,"TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED. APPOINTED OFFICIALS | DAM KEEPER ASSISTANT DAM KEEPER | Ronald Wilson Richard Patry | EMERGENCY MANAGEMENT DIRECTOR | Fire Chief Patrick Sullivan | """,2020,,,,,,,,1,,0,,,no check,no total printed
