dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
elections,2011,FY2011,79,1,,SATURDAY MAY,,row,not a full row — not checked,,,,trailing figures,21,2011,,,,,,,2,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,** Thomas A. Alonzo,,row,not a full row — not checked,,,,trailing figures,19,20,32,30,101,,,,5,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,** David J. Matthews,,row,"parts sum to 71, total printed 104",,,,trailing figures,20,21,30,104,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,Blanks,,row,"parts sum to 28, total printed 31",,,,trailing figures,7,11,10,31,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,TOTAL,,subtotal,"parts sum to 168, total printed 236",,,,trailing figures,46,52,70,236,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,** John J. Simeone,,row,"parts sum to 79, total printed 104",,,,trailing figures,19,33,27,104,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,Blanks,,row,"parts sum to 13, total printed 14",,,,trailing figures,4,1,8,14,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,TOTAL,,subtotal,"parts sum to 83, total printed 118",,,,trailing figures,23,26,34,118,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,** Perry R. Jewell,,row,not a full row — not checked,,,,trailing figures,17,21,32,27,97,,,,5,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,** John T. Rabbitt,,row,"parts sum to 81, total printed 104",,,,trailing figures,20,32,29,104,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,Blanks,,row,not a full row — not checked,,,,trailing figures,9,8,4,14,35,,,,5,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,79,1,,TOTAL,,subtotal,"parts sum to 184, total printed 236",,,,trailing figures,46,68,70,236,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,80,1,,TOTAL,,subtotal,parts sum to the printed total,,,,trailing figures,23,26,34,35,118,,,,5,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,80,1,,HOUSING AUTHORITY MEMBER - For 5 years / Vote for One,,row,parts sum to the printed total,,,,trailing figures,4,2,3,2,11,,,,5,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,80,1,,* Amaryllis D. Leet,,row,one cell short — the missing value is derivable from the printed total,one cell missing; from this row's own printed total it must be 33,,,trailing figures,19,24,31,107,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2011,FY2011,80,1,,Blanks,,row,one cell short — the missing value is derivable from the printed total,one cell missing; from this row's own printed total it must be 23,,,trailing figures,26,34,35,118,,,,,4,,0,,,check failed,"2 full rows tie, 8 do not; 6 partial not checked"
elections,2012,FY2012,102,1,,TUESDAY MARCH,,row,not a full row — not checked,,,,trailing figures,6,2012,,,,,,,2,,0,,,check failed,"77 full rows tie, 7 do not; 27 partial not checked"
elections,2012,FY2012,102,1,,BARAK OBAMA,,row,"parts sum to 67, total printed 90",,,,trailing figures,22,21,24,90,,,,,4,,0,,,check failed,"77 full rows tie, 7 do not; 27 partial not checked"
elections,2012,FY2012,102,1,,BLANKS,,row,not a full row — not checked,,,,trailing figures,4,13,,,,,,,2,,0,,,check failed,"77 full rows tie, 7 do not; 27 partial not checked"
elections,2012,FY2012,102,1,,TOTAL,,subtotal,"parts sum to 81, total printed 110",,,,trailing figures,29,23,29,110,,,,,4,,0,,,check failed,"77 full rows tie, 7 do not; 27 partial not checked"
elections,2012,FY2012,102,1,,"HAROLD P. NAUGHTON, JR",,row,"parts sum to 63, total printed 24",,,,trailing figures,21,16,26,24,,,,,4,,0,,,check failed,"77 full rows tie, 7 do not; 27 partial not checked"
elections,2012,FY2012,102,1,,BLANKS                                                    • ∞0,,row,not a full row — not checked,,,,trailing figures,5,23,,,,,,,2,,0,,,check failed,"77 full rows tie, 7 do not; 27 partial not checked"
elections,2012,FY2012,102,1,,TOTAL,,subtotal,not a full row — not checked,,,,trailing figures,29,23,29,29,110,,,,5,,0,,,check failed,"77 full rows tie, 7 do not; 27 partial not checked"
