dataset,fy,edition,page,panel,group,label,label_missing,kind,row_check,derived_cell,table_family,line_no,columns_as_printed,v1,v2,v3,v4,v5,v6,v7,v8,n_values,ruler_spanned,repaired_cells,unparsed_cells,column_meaning,status,reconciliation
trust_funds,2011,FY2011,73,,CEMETERY FU,PERPETUAL CARE BEQUEST,,row,,,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,166802.91,6604.88,,,,,,,2,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,C. ALLEN HEADSTONE,,subtotal,"subtotal: equals the 2 rows below it, in 2 of its columns",,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,,,0.00,1259.45,0.00,0.00,174667.24,,5,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,,,subtotal,"subtotal: equals the 1 rows below it, in 2 of its columns",,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,100.00,444.90,0.00,3.95,0.00,,,,5,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,SALE OF CEMETERY LOTS,,row,,,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,141557.37,23346.67,,,,0.00,548.85,,4,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,,,row,,,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,,,0.00,1197.68,0.00,,,,3,,0,. $0.00,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,,,row,,,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,,,,,,,166101.72,,1,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,SUBTOTAL,,subtotal,,,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,308460.28,,,,,,,,1,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,,,subtotal,"subtotal: equals the 1 rows below it, in 3 of its columns",,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,,30396.45,0.00,,0.00,0.00,0.00,,5,yes,0,"฿2,461.08",,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CEMETERY FU,,,row,,,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,,,,,,,341317.81,,1,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
trust_funds,2011,FY2011,73,,CONSERVATION F,CONSERVATION LAND PURCHASE,,row,,,,,TRUST FUNDS | BEGINNING BEGINNING DISBURSE | FUND NAME BALANCE BALANCE CONTRIB TO NET | PRINCIPAL EARNINGS FROM TRANSFERS. OF ENDING CASH | PRINCIPAL EARNINGS PRINCIPAL EARNINGS VALUE | CEMETERY FUNDS,21650.00,28081.87,0.00,361.20,,,,,4,,0,,,check failed,"v1: 354,751.46 vs 1,905,698.11 (-1,550,946.65) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v2: 86,794.23 vs 197,949.45 (-111,155.22) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v3: 3,440.25 vs 3,940.25 (-500.00) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v4: 1,770.77 vs 15,307.76 (-13,536.99) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v5: 0.00 vs 0.00 [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v6: 0.00 vs 34.50 (-34.50) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages] ; v7: 601,087.69 vs 2,122,930.00 (-1,521,842.31) [v-numbers are ORDINALS, not columns: this table family has no column model, so the same v-number is a different printed column on different pages]"
