page	x	y	w	h	conf	text
1	0.35176	0.66428	0.39212	0.07374	1.000	unenburg
1	0.21805	0.65116	0.02444	0.01017	0.500	ZA
1	0.24248	0.65407	0.01880	0.00727	0.300	MCS1
1	0.25290	0.31796	0.45273	0.05273	1.000	Town Report
1	0.34554	0.20809	0.28073	0.04894	1.000	2012
1	0.72368	0.11919	0.13158	0.01163	1.000	Leann Shyne, Pictures
1	0.68421	0.10606	0.17105	0.01022	1.000	Jo McLaughlin, Cover Design
2	0.36278	0.84302	0.31203	0.03488	1.000	INMEMORIAM
2	0.31753	0.74122	0.58111	0.01934	1.000	PAUL B. PORTER - Paul was born in Fitchburg and grew up in Lunenburg and
2	0.31750	0.72662	0.58111	0.01718	1.000	graduated from Lunenburg High School. Following his graduation, Paul joined the U.S.
2	0.31942	0.71215	0.57543	0.01852	1.000	Marine Corps and served for four years. He was honorably discharged in 1963 having
2	0.31955	0.70058	0.57707	0.01470	1.000	attained the rank of corporal. When he returned home he became a reserve police officer
2	0.31767	0.68605	0.50376	0.01308	1.000	with the Lunenburg Police Department and served in that capacity for 46 years.
2	0.31767	0.65698	0.56015	0.01308	1.000	Paul was a member of the Lunenburg Planning Board and Zoning Board of Appeals. He
2	0.31745	0.63861	0.57745	0.02156	1.000	was president of the Lunenburg Historical Society, member of the Masons and served as a
2	0.31767	0.62626	0.57895	0.01641	1.000	Constable. He was member and past president of the Lunenburg Police Relief Association
2	0.31579	0.61174	0.39662	0.01471	1.000	and senior vice commander of the American Legion Post 283.
2	0.13520	0.57941	0.74271	0.02046	1.000	Paul was a proud Marine Corps Devil Dog and member and past Commandant of the Marine Corps League Fitchburg
2	0.13515	0.56477	0.75787	0.02175	1.000	Detachment #1076. He was honored by the Department of Massachusetts Marine Corps League as their "Marine of the
2	0.13346	0.55233	0.13346	0.01459	1.000	Year" for 2011-2012.
2	0.13534	0.52326	0.74812	0.01744	1.000	He was affectionately referred to as "The Mayor of Lunenburg" by his daughter Pam and many others. Everyone who
2	0.13534	0.51136	0.13534	0.01073	1.000	knew him loved him.
2	0.32519	0.42992	0.57519	0.01641	1.000	RICHARD "NICK" STORES - Nick was born and brought up in New
2	0.32509	0.40805	0.57541	0.01950	1.000	York, educated at Pomfret School and Yale University, and moved to Fitchburg in 1962 to
2	0.32519	0.39680	0.04511	0.00872	1.000	teach
2	0.36833	0.39216	0.53217	0.01869	1.000	at Applewild School after teaching in Switzerland for two years. He was
2	0.32331	0.37791	0.57707	0.01603	1.000	instrumental in forming the Fitchburg Youth Hockey League which played at Applewild's
2	0.32519	0.36174	0.46617	0.01326	1.000	outdoor rink before the Wallace Civic Center was built in the early 1970s.
2	0.32519	0.33140	0.57519	0.01599	1.000	Nick moved to Lancaster Avenue in Lunenburg in 1970 and quickly became involved with
2	0.32507	0.31276	0.57543	0.01887	1.000	town activities. Whether it was sports or additional education programs he was always
2	0.32693	0.29684	0.57362	0.01863	1.000	ready to volunteer for something. He introduced the Math Olympiad program to the 5th
2	0.32697	0.28126	0.57350	0.01682	1.000	and 6th grades in the early 1980s and taught the kids the importance of thinking through a
2	0.32895	0.26578	0.57143	0.01474	1.000	word problem rather than just concentrating on the "right" answer. Nick served on the
2	0.13900	0.24705	0.76338	0.01753	1.000	School Committee for several years and became the Chairman in 1988. Always concerned about the children of
2	0.13710	0.22781	0.76527	0.02093	1.000	Lunenburg getting the best education available, he worked closely with the Superintendents and other members of the
2	0.13910	0.21512	0.22932	0.01163	1.000	School Committee toward that goal.
2	0.13714	0.18413	0.76338	0.01871	1.000	In 1988 Nick became a Realtor with Century 21 Fontaine in Fitchburg and subsequently bought the franchise. He and
2	0.13901	0.16939	0.76334	0.01858	1.000	his wife, Jeanie, created Century 21 Realty Team and moved the business to Leominster. Covering most of the towns
2	0.13902	0.15460	0.76334	0.01890	1.000	of Northern Worcester County, the philosophy of the company has always focused on service and serving the real
2	0.13910	0.14244	0.76316	0.01602	1.000	estate needs of the community. As a very active member of the Montachusett Area Rotary Club Nick's enthusiasm for
2	0.13722	0.12936	0.76692	0.01458	1.000	"Service Above Self" extended to both local civic projects as well as multiple trips to Central America with Habitat for
2	0.13903	0.11128	0.70882	0.01860	1.000	Humanity. At home, he became a Commissioner of Trust Funds and served as Chairman until his death in 2012
3	0.23547	0.83820	0.15552	0.03146	1.000	INMEMORIAM
3	0.21221	0.73708	0.29070	0.01573	1.000	PAUL B. PORTER - Paul was born in Fitchburg and grew up in Lunenburg and
3	0.21505	0.72100	0.28501	0.01705	1.000	graduated from Lunenburg High School. Following his graduation, Paul joined the U. S
3	0.21503	0.70490	0.28653	0.02012	1.000	Marine Corps and served for four years. He was honorably discharged in 1963 having
